test type,group1,group2,mean difference,lower conf. interval,upper conf. interval,reject,adjusted p-value
between groups,cotyledon_WT_0,cotyledon_WT_96,0.016958755808405668,0.010373804983616735,0.0235437066331946,True,8.790523864377064e-12
between groups,cotyledon_WT+Oryzalin_0,cotyledon_WT_0,-0.0023936207967629256,-0.009228599766600641,0.004441358173074791,False,0.917500605633668
between groups,cotyledon_WT+Oryzalin_0,cotyledon_WT_96,0.014565135011642742,0.007730156041805026,0.021400113981480458,True,2.9825158898155735e-08
between groups,cotyledon_WT+Oryzalin_0,cotyledon_WT+Oryzalin_96,-0.0005248630534397947,-0.007601041236001288,0.006551315129121699,False,0.9999410763154305
between groups,cotyledon_WT+Oryzalin_96,cotyledon_WT_0,-0.0018687577433231309,-0.008703736713160846,0.0049662212265145856,False,0.9705784988401794
between groups,cotyledon_WT+Oryzalin_96,cotyledon_WT_96,0.015089998065082537,0.008255019095244821,0.021924977034920252,True,8.0451546535798e-09
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT_0,-0.0025648880763447512,-0.008814788526972005,0.0036850123742825022,False,0.8495008409873763
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT_96,0.014393867732060917,0.008143967281433663,0.02064376818268817,True,1.4997503239300158e-09
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT+Oryzalin_0,-0.0001712672795818257,-0.006684071268340136,0.006341536709176485,False,0.9999996626088333
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_WT+Oryzalin_96,-0.0006961303330216204,-0.007208934321779931,0.00581667365573669,False,0.9996435927691423
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_0,cotyledon_$\it{ktn1}$-$\it{2}$_96,0.0070355491149923025,0.0011397087236135594,0.012931389506371046,True,0.008975797106773098
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT_0,-0.009600437191337054,-0.015850337641964307,-0.0033505367407098002,True,0.0001924469201594059
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT_96,0.007358318617068614,0.0011084181664413606,0.013608219067695868,True,0.010478108058102564
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT+Oryzalin_0,-0.007206816394574128,-0.013719620383332439,-0.0006940124058158175,True,0.02025015004031816
between groups,cotyledon_$\it{ktn1}$-$\it{2}$_96,cotyledon_WT+Oryzalin_96,-0.007731679448013923,-0.014244483436772233,-0.0012188754592556122,True,0.009530589450752469

self.betweenGroupingLetters={'cotyledon_WT_0': 'A', 'cotyledon_WT_96': 'B', 'cotyledon_WT+Oryzalin_0': 'A', 'cotyledon_WT+Oryzalin_96': 'A', 'cotyledon_$\\it{ktn1}$-$\\it{2}$_0': 'A', 'cotyledon_$\\it{ktn1}$-$\\it{2}$_96': 'C'}
